baseline_revision,python_source,sha256,import_roots,production_reference_matches,test_reference_matches,contract_reference_matches,proposed_owner_review_required,migration_status,workload_admission
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_categorical_pair_patient.py,bcfd190b1cbdf7ab62230d6a301607a6c936dc21ab68b5209bb9316a27a0b87a,__future__;argparse;concurrent;csv;hashlib;importlib;json;math;os;pathlib;shapely;struct;subprocess;typing,workers/python/marklab_crc_final_science_bundle.py,tests/python/test_crc_categorical_pair_patient.py;tests/python/test_crc_final_science_bundle.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/VALIDATION_LEDGER.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_final_science_bundle.py,ad6dd056bc2434aadc888edb0f3b7da52038a987f5455c6dbd50eb049fab654a,__future__;argparse;csv;hashlib;json;math;os;pathlib;shutil;typing,,tests/python/test_crc_final_science_bundle.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/VALIDATION_LEDGER.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_fingerprint_bundle.py,246c401b6b72358e6aafdd9dbe482fc5ab4cca14486831a694f37b428f13384f,__future__;argparse;csv;hashlib;json;math;os;pathlib;shutil;typing,,tests/python/test_crc_fingerprint_bundle.py,,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_graph_topology_final.py,017304006eee0aafea265610782f28749104b83eb8fbcbbbb25a1754e703e105,__future__;argparse;cellvit;csv;hashlib;json;math;numpy;pathlib;torch;typing,workers/python/marklab_cellvit_patient_local_fields.py;workers/python/marklab_crc_graph_topology_summary.py;workers/python/marklab_crc_witness_bottleneck_patient.py,tests/python/test_crc_graph_topology_final.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/VALIDATION_LEDGER.md,marklab-topology,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_graph_topology_summary.py,1aa48755505593238d8bd01334a853d12d319356f934cb195d55c683f934891d,__future__;argparse;csv;hashlib;importlib;itertools;json;math;numpy;os;pathlib;random;typing,workers/python/marklab_cellvit_patient_local_fields.py;workers/python/marklab_crc_categorical_pair_patient.py;workers/python/marklab_crc_sparse_fourier_patient.py;workers/python/marklab_gastric_cellvit_interim.py,tests/python/test_crc_graph_topology_summary.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/VALIDATION_LEDGER.md,marklab-topology,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_sparse_fourier_patient.py,dc3c60323f3fa87ca59ce42bbe662c2f4f074383c4d93a95f11ac9cdb4e988bc,__future__;argparse;concurrent;csv;hashlib;importlib;json;math;os;pathlib;subprocess;typing,,tests/python/test_crc_sparse_fourier_patient.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/DECISIONS.md;docs/implementation/STATUS.md;docs/implementation/VALIDATION_LEDGER.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_spatial_phenotype_outcome.py,6262b8b17c6c90adf11a7ed3e410004dafe7899160230c8ce7b9056a61e06839,__future__;argparse;collections;crc_spatial_outcome_statistics;csv;hashlib;io;json;math;os;pathlib;shutil;statistics;sys;tarfile;tempfile;typing;xml;zipfile,,tests/python/test_crc_spatial_phenotype_outcome.py,docs/implementation/CANONICAL_SYMBOLS.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_crc_witness_bottleneck_patient.py,2f73ea0b36d2ce223452c6c2a6acc01bf081fc70d089505ff382aebc8f8a9aef,__future__;argparse;concurrent;csv;hashlib;importlib;itertools;json;math;os;pathlib;random;subprocess;typing,workers/python/marklab_crc_final_science_bundle.py,tests/python/test_crc_final_science_bundle.py;tests/python/test_crc_witness_bottleneck_patient.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/DECISIONS.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_gastric_cellvit_interim.py,49be93d33a95d46c84a4c8e46a48e20a64d3d092e049ade2ecced04a7e36533e,__future__;argparse;cellvit;concurrent;csv;hashlib;importlib;json;math;numpy;os;pathlib;shutil;snappy;subprocess;sys;torch;typing,,tests/python/test_gastric_cellvit_interim.py,docs/implementation/CANONICAL_SYMBOLS.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_generative_validation_worker.py,5e9ffbca3fffdd817388872e796b3ac82693d741b4cda482aa01c14049248270,hashlib;json;math;numpy;scipy;sys,src/bin/marklab/neural.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-sbi / marklab-simulation,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_gudhi_alpha3d_worker.py,328f7252491ef81b3a692c6516e73524ac64a4278f21921d8dc4fda54169e16b,gudhi;hashlib;json;math;numpy;sys,src/bin/marklab/spatial3d_model.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-topology,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_gudhi_alpha_persistence_worker.py,493a353c324de801e241cfe63273094005a985aa0619b79ff68aaec26d2e1382,gudhi;hashlib;json;math;scipy;sys,src/bin/marklab/topology/direct_commands.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-topology,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_gudhi_persistence_comparison_worker.py,ab0bdc6d4fb059b297d44bdbf2a5f0bd05fa898a015fdf944987b39882623e7a,gudhi;hashlib;itertools;json;math;sys,src/bin/marklab/topology/direct_commands.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-topology,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_gudhi_witness_bottleneck_worker.py,15e1dae22362a25ed79f56b078d149ad620d69f9cc72cb0b2a3c774019bbb912,gudhi;hashlib;json;math;sys,src/bin/marklab/topology/witness_bottleneck.rs,tests/python/test_gudhi_witness_bottleneck_worker.py,,marklab-topology,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_gudhi_witness_persistence_worker.py,966a8dc54e29c315622423c68d3b343c21d8d30d67341bcd43f0c941ef5fceba,gudhi;hashlib;json;math;sys,src/bin/marklab/topology/witness_persistence.rs;src/bin/marklab/topology/witness_stability.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-topology,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_joint_pathology_worker.py,7b72867b372d19e2387c8f6f1b48795902a5c85197fb0aa4c9f7a3ca469fc90c,hashlib;jax;json;math;numpy;scipy;sys,src/bin/marklab/multimodal_model/robust.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-embeddings,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_lddmm_landmark_worker.py,06409d6dd5783ffe119cff8060d70a7baa8d3bde2943a2d5ae868b477a901e8f,hashlib;jax;json;numpy;scipy;sys,src/bin/marklab/registration/lddmm_landmarks.rs,,docs/implementation/CANONICAL_SYMBOLS.md,registration / marklab-spatial3d,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_modality_dropout_worker.py,3a4c95439d270033f430914d6e0c46199d08600e659febbb728d2c23b37e02b3,hashlib;jax;json;math;numpy;scipy;sys,src/bin/marklab/multimodal_model/robust.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-embeddings,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_multiresolution_factor_worker.py,ebc8003dd68b19009d2a9f40756aef9823d41b3fe92f3cb7a571078d43f806e6,hashlib;jax;json;math;numpy;scipy;sys,src/bin/marklab/multimodal_model/multiresolution.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-embeddings,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_neural_point_process_worker.py,880f5dbc27e88e13ab2ec05e001dcaddd08d0dddeab84953bcc34b68ccd59318,hashlib;jax;json;math;numpy;scipy;sys,src/bin/marklab/neural.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-sbi / marklab-simulation,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_probabilistic_svf_worker.py,3b05e52910b4473f49a1763c9118d15bd33b580716e8807ba62dfb92d58405b0,hashlib;jax;json;math;numpy;scipy;sys,src/bin/marklab/registration/probabilistic_svf.rs,,docs/implementation/CANONICAL_SYMBOLS.md,registration / marklab-spatial3d,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_scipy_tensor_factor_worker.py,174085740e954fe312be5823ec80f94032fe7f2e59baaf509315702f6e2d8880,hashlib;jax;json;math;numpy;scipy;sys,src/bin/marklab/multimodal_model/tensor.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-embeddings,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_jax_svf_registration_worker.py,b12c44b9f49c2a75f6d8c8bc76d338f1ff46e8345e94d0fb260f46ee5674d131,hashlib;jax;json;numpy;scipy;sys,src/bin/marklab/registration/svf.rs,,docs/implementation/CANONICAL_SYMBOLS.md,registration / marklab-spatial3d,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_mofapy2_matrix_factor_worker.py,32c721784c6816f163d854b76d2896df9dc918ce86d8c76d9bb6bca109bc7303,contextlib;h5py;hashlib;io;json;math;mofapy2;numpy;scipy;sys,src/bin/marklab/multimodal_model/matrix.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-embeddings,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_mofapy2_multiview_worker.py,f26b78ca1ed6b263cc482ecfc785a8055766dfc4531f274d30e82580c68b6d43,contextlib;h5py;hashlib;io;json;math;mofapy2;numpy;scipy;sys,src/bin/marklab/multimodal_model/matrix.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-embeddings,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_multimodal_validation_worker.py,aaff276787f7d3e116061e613a31e98eb2380f3c90aae67f27f59421649fec6f,hashlib;json;math;numpy;scipy;sys,src/bin/marklab/multimodal_model/validation.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-embeddings,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpy_replicated_arbitrary_window_multitype_lgcp_inferred_kernel_prior_calibration_worker.py,36ff21f7454a4719238d2a33a261ee4bef9b30ffe89baa0245002d41a30d7d4c,__future__;hashlib;importlib;json;math;numpy;pathlib;sys;typing,src/bin/marklab/bayes/replicated_arbitrary_window_multitype_lgcp_inferred_kernel_prior_calibration.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpy_replicated_arbitrary_window_multitype_lgcp_prior_calibration_worker.py,9b2dc79c84ba33e0487afad67ba36dc6b92e8ad1b1b9b8803645df85457263fb,__future__;hashlib;importlib;json;math;numpy;pathlib;sys;typing,src/bin/marklab/bayes/replicated_arbitrary_window_multitype_lgcp_prior_calibration.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpy_scipy_sbc_worker.py,5666bbdf945f677d1cf1a0c69d3898f16c6e29b09f8c0c61a9335c6c5adc7227,__future__;hashlib;json;math;numpy;pathlib;scipy;sys;typing,src/bin/marklab/bayes/sbc.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_arbitrary_window_ipp_sbc_worker.py,921eac56f38fb7c3e822906c90dfaf52dc4e51209ad59433f97320ac68e0a8f8,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/arbitrary_window_ipp_sbc.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_arbitrary_window_ipp_worker.py,3be7390554303e1f29330184121022de465e70973eb3b762b857e2eb8caef747,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/arbitrary_window_ipp_agreement.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_arbitrary_window_lgcp_sbc_worker.py,011dc068521d9fe9106e307d4ba956f613d65b01032b92e16c61bbe816c169d5,__future__;hashlib;importlib;jax;json;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/arbitrary_window_lgcp_sbc.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_arbitrary_window_lgcp_worker.py,b7da12d8bda1c2786266f0b0526512de5574791da66b8dc0ec288654879df76c,__future__;hashlib;importlib;jax;json;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/arbitrary_window_lgcp_agreement.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_group_gender_sbc_worker.py,55fbe16e5dcdd12dfd9b3b5431a8721619b6100ec0ac088a6206f6cb8496d3fb,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/beta_binomial_group_gender_sbc.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_group_gender_slide_hierarchy_sbc_worker.py,a41a3af655d46788cf8c49ba92d80b20d3183515a4dc03b9fcfdfac7f41a043a,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/beta_binomial_group_gender_slide_sbc.rs,tests/bayes_beta_binomial_group_gender_slide_sbc_cli.rs,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_group_gender_slide_hierarchy_worker.py,b2158e79b924e9e7cd0f68e11f3806167efd2393fa13ee1272b487da0e9672d4,__future__;arviz;hashlib;importlib;jax;json;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/beta_binomial_group_gender_slide_agreement.rs;src/bin/marklab/bayes/beta_binomial_group_gender_slide_sbc.rs;workers/python/marklab_numpyro_beta_binomial_group_gender_slide_hierarchy_sbc_worker.py,tests/bayes_beta_binomial_group_gender_slide_sbc_cli.rs,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_group_gender_worker.py,23e4f79ebe69bc138a1fa28f39a98aa1c616975c20adf89593680ef4315cc28b,__future__;arviz;hashlib;importlib;jax;json;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/beta_binomial_group_gender_agreement.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_group_regression_sbc_worker.py,0551b0270e683cc815212503f7c84f18194ca5d64329082670a873a452a689a0,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/beta_binomial_group_regression_sbc.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_group_regression_worker.py,cc9ec963712c79d6211d3899df25bf574584a0eb51a19c6c428bce74263fb3bf,__future__;arviz;hashlib;importlib;jax;json;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/beta_binomial_group_regression_agreement.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_hierarchy_sbc_worker.py,b73bb03564361975ecfe5c38189bbdfe8f69e269eb03dd43e4f3daa0a5f5f199,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/beta_binomial_hierarchy_sbc.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_beta_binomial_hierarchy_worker.py,f83e05d22d8a789d6bba05612b4b4707fc4b00393d50d2a859a3c267fcfdad89,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/beta_binomial_hierarchy_agreement.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_conditional_multitype_mark_sbc_worker.py,a0a0a85ab9363fcb347f7000e6d4a548941c6b36ba0260c13a6449e1dfbbd2ac,__future__;arviz;hashlib;importlib;itertools;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/conditional_multitype_mark_sbc.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_conditional_multitype_mark_worker.py,6a4a908cbcc189ca667f7880b87045dc97ae02e730dc62e2cade28719c875ed3,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/conditional_multitype_mark_agreement.rs;workers/python/marklab_numpyro_conditional_multitype_mark_sbc_worker.py,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_correlated_replicated_arbitrary_window_multitype_lgcp_worker.py,b045184f9f27ea689e902f10e8c1d0bf5569d67c5a062a71d21e14cb78e9efbe,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/correlated_replicated_arbitrary_window_multitype_lgcp.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_dirichlet_multinomial_group_sbc_worker.py,1734e4d92d129fba61e7e66fec2513e8da8799798467bbd9499a676e1723aee7,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/dirichlet_multinomial_group_sbc.rs,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_dirichlet_multinomial_group_worker.py,edaa1a14d0e9d703f4018571f836a4c9c8219c7ff46d539e4bd504b8a3ae2e9f,__future__;arviz;hashlib;importlib;jax;json;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/dirichlet_multinomial_group_agreement.rs;workers/python/marklab_numpyro_dirichlet_multinomial_group_sbc_worker.py,,,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_gridded_lgcp_sbc_worker.py,80e19b57cdfdb2ba0849c450a5382fb6958180ee1baae01dcd663862b0aa110a,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/arbitrary_window_lgcp_sbc.rs;src/bin/marklab/bayes/gridded_lgcp_sbc.rs;workers/python/marklab_numpyro_arbitrary_window_lgcp_sbc_worker.py,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_gridded_lgcp_worker.py,23b1dc26e6c73d79948999e673f1c7b29303c0df2546ed3ca760f3a0eb00d3ef,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/arbitrary_window_lgcp_agreement.rs;src/bin/marklab/bayes/gridded_lgcp_agreement.rs;workers/python/marklab_numpyro_arbitrary_window_lgcp_worker.py;workers/python/marklab_numpyro_gridded_lgcp_sbc_worker.py,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_hierarchical_sbc_worker.py,0e446d4f45f75bd40249b5fd812b50fa9df7a5361878507e3e5179729314b698,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;scipy;sys;typing,src/bin/marklab/bayes/hierarchical_sbc.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_numpyro_hierarchical_worker.py,62a5cfa43ad8a52fe46609cd4e3a17857c71a5622fefbb75051ed89435add1dd,__future__;arviz;hashlib;importlib;jax;json;math;numpy;numpyro;pathlib;sys;typing,src/bin/marklab/bayes/hierarchical_agreement.rs;workers/python/marklab_numpyro_hierarchical_sbc_worker.py,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
